drug	0	1	2	3	4	5	6	7	8	9	brandred
pimecrolimus	Misc Therapeutic Agents	Misc Therapeutic Agents	Misc Therapeutic Agents	Misc Therapeutic Agents	Misc Therapeutic Agents	Misc Therapeutic Agents	Misc Therapeutic Agents	Misc Therapeutic Agents	Misc Therapeutic Agents	Misc Therapeutic Agents	1.0
mirtazapine	Psychother, Antidepressants	Psychother, Antidepressants	Psychother, Antidepressants	Psychother, Antidepressants	Psychother, Antidepressants	Psychother, Antidepressants	Psychother, Antidepressants	Psychother, Antidepressants	Psychother, Antidepressants	Psychother, Antidepressants	0.108823529412
levocetirizine_dihydrochloride	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	0.217391304348
prednisolone	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	0.120331950207
desogestrel_ethinyl_estradiol;ethinyl_estrad	Contraceptive, Oral Comb	Contraceptive, Oral Comb	Contraceptive, Oral Comb	Contraceptive, Oral Comb	Contraceptive, Oral Comb	Contraceptive, Oral Comb	Contraceptive, Oral Comb	Contraceptive, Oral Comb	Contraceptive, Oral Comb	Contraceptive, Oral Comb	0.5
imiquimod	Misc Therapeutic Agents	Misc Therapeutic Agents	Misc Therapeutic Agents	Misc Therapeutic Agents	Misc Therapeutic Agents	Misc Therapeutic Agents	Misc Therapeutic Agents	Misc Therapeutic Agents	Misc Therapeutic Agents	Misc Therapeutic Agents	0.541666666667
ibandronate_sodium	Misc Therapeutic Agents	Misc Therapeutic Agents	Misc Therapeutic Agents	Misc Therapeutic Agents	Misc Therapeutic Agents	Misc Therapeutic Agents	Misc Therapeutic Agents	Misc Therapeutic Agents	Misc Therapeutic Agents	Misc Therapeutic Agents	0.647058823529
tetracycline_hydrochloride	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	0.0733410942957
rofecoxib	Analg/Antipyr,Nonstr/Antiinflm	Analg/Antipyr,Nonstr/Antiinflm	Analg/Antipyr,Nonstr/Antiinflm	Analg/Antipyr,Nonstr/Antiinflm	Analg/Antipyr,Nonstr/Antiinflm	Analg/Antipyr,Nonstr/Antiinflm	Analg/Antipyr,Nonstr/Antiinflm	Analg/Antipyr,Nonstr/Antiinflm	Analg/Antipyr,Nonstr/Antiinflm	Analg/Antipyr,Nonstr/Antiinflm	1.0
permethrin	Antiinf S/MM, Scabic/Pediculic	Misc Therapeutic Agents	Misc Therapeutic Agents	Antiinf S/MM, Scabic/Pediculic	Antiinf S/MM, Scabic/Pediculic	Misc Therapeutic Agents	Antiinf S/MM, Scabic/Pediculic	Misc Therapeutic Agents	Misc Therapeutic Agents	Misc Therapeutic Agents	0.5
pioglitazone_hydrochloride	Antidiabetic Agents, Misc	Antidiabetic Agents, Misc	Antidiabetic Agents, Misc	Antidiabetic Agents, Misc	Antidiabetic Agents, Misc	Antidiabetic Agents, Misc	Antidiabetic Agents, Misc	Antidiabetic Agents, Misc	Antidiabetic Agents, Misc	Antidiabetic Agents, Misc	0.410526315789
fluocinolone_acetonide	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	0.148614609572
nortriptyline_hydrochloride	Psychother, Antidepressants	Psychother, Antidepressants	Psychother, Antidepressants	Psychother, Antidepressants	Psychother, Antidepressants	Psychother, Antidepressants	Psychother, Antidepressants	Psychother, Antidepressants	Psychother, Antidepressants	Psychother, Antidepressants	0.0815972222222
dexamethasone_neomycin_sulfate_polymyxin_b_s	Antiinfect, Antiinflam EENT	Antiinfect, Antiinflam EENT	Antiinfect, Antiinflam EENT	Antiinfect, Antiinflam EENT	Antiinfect, Antiinflam EENT	Antiinfect, Antiinflam EENT	Antiinfect, Antiinflam EENT	Antiinfect, Antiinflam EENT	Antiinfect, Antiinflam EENT	Antiinfect, Antiinflam EENT	0.112
raloxifene_hydrochloride	Estrogens & Comb	Estrogens & Comb	Estrogens & Comb	Estrogens & Comb	Estrogens & Comb	Estrogens & Comb	Estrogens & Comb	Estrogens & Comb	Estrogens & Comb	Estrogens & Comb	1.0
amlodipine_besylate_benazepril_hydrochloride	Cardiac, Calcium Channel	Cardiac, Calcium Channel	Cardiac, Calcium Channel	Cardiac, Calcium Channel	Cardiac, Calcium Channel	Cardiac, Calcium Channel	Cardiac, Calcium Channel	Cardiac, Calcium Channel	Cardiac, Calcium Channel	Cardiac, Calcium Channel	0.26
doxycycline	Antiinf S/MM, Antiinf Loc Misc	Antiinfect, Antibiotics EENT	Antiinf S/MM, Antiinf Loc Misc	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	Antiinf S/MM, Antiinf Loc Misc	Antiinf S/MM, Antiinf Loc Misc	Antiinfect, Antibiotics EENT	Antiinf S/MM, Antiinf Loc Misc	Antiinf S/MM, Antiinf Loc Misc	0.291666666667
enoxaparin_sodium	Coag/Anticoag, Anticoagulants	Coag/Anticoag, Anticoagulants	Coag/Anticoag, Anticoagulants	Coag/Anticoag, Anticoagulants	Coag/Anticoag, Anticoagulants	Coag/Anticoag, Anticoagulants	Coag/Anticoag, Anticoagulants	Coag/Anticoag, Anticoagulants	Coag/Anticoag, Anticoagulants	Coag/Anticoag, Anticoagulants	0.42
desoximetasone	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	0.328467153285
ethinyl_estradiol_norethindrone_acetate	Contraceptive, Oral Comb	Contraceptive, Oral Comb	Contraceptive, Oral Comb	Contraceptive, Oral Comb	Contraceptive, Oral Comb	Contraceptive, Oral Comb	Contraceptive, Oral Comb	Contraceptive, Oral Comb	Contraceptive, Oral Comb	Contraceptive, Oral Comb	0.657894736842
nifedipine	Cardiac, Calcium Channel	Cardiac, Calcium Channel	Cardiac, Calcium Channel	Cardiac, Calcium Channel	Cardiac, Calcium Channel	Cardiac, Calcium Channel	Cardiac, Calcium Channel	Cardiac, Calcium Channel	Cardiac, Calcium Channel	Cardiac, Calcium Channel	0.199127906977
ethinyl_estradiol_norelgestromin	Contraceptive, Oral Comb	Contraceptive, Oral Comb	Contraceptive, Oral Comb	Contraceptive, Oral Comb	Contraceptive, Oral Comb	Contraceptive, Oral Comb	Contraceptive, Oral Comb	Contraceptive, Oral Comb	Contraceptive, Oral Comb	Contraceptive, Oral Comb	0.875
guaifenesin_hydrocodone_bitartrate	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	0.290076335878
indomethacin	Analg/Antipyr,Nonstr/Antiinflm	Analg/Antipyr,Nonstr/Antiinflm	Analg/Antipyr,Nonstr/Antiinflm	Analg/Antipyr,Nonstr/Antiinflm	Analg/Antipyr,Nonstr/Antiinflm	Analg/Antipyr,Nonstr/Antiinflm	Analg/Antipyr,Nonstr/Antiinflm	Analg/Antipyr,Nonstr/Antiinflm	Analg/Antipyr,Nonstr/Antiinflm	Analg/Antipyr,Nonstr/Antiinflm	0.0273224043716
conjugated_estrogens_medroxyprogesterone_ace	Estrogens & Comb	Estrogens & Comb	Estrogens & Comb	Estrogens & Comb	Estrogens & Comb	Estrogens & Comb	Estrogens & Comb	Estrogens & Comb	Estrogens & Comb	Estrogens & Comb	1.0
carvedilol	Cardiac, Beta Blockers	Cardiac, Beta Blockers	Cardiac, Beta Blockers	Cardiac, Beta Blockers	Cardiac, Beta Blockers	Cardiac, Beta Blockers	Cardiac, Beta Blockers	Cardiac, Beta Blockers	Cardiac, Beta Blockers	Cardiac, Beta Blockers	0.129032258065
fenofibrate	Antihyperlipidemic Drugs	Antihyperlipidemic Drugs	Antihyperlipidemic Drugs	Antihyperlipidemic Drugs	Antihyperlipidemic Drugs	Antihyperlipidemic Drugs	Antihyperlipidemic Drugs	Antihyperlipidemic Drugs	Antihyperlipidemic Drugs	Antihyperlipidemic Drugs	0.462264150943
quetiapine_fumarate	Psychother,Tranq/Antipsychotic	Psychother,Tranq/Antipsychotic	Psychother,Tranq/Antipsychotic	Psychother,Tranq/Antipsychotic	Psychother,Tranq/Antipsychotic	Psychother,Tranq/Antipsychotic	Psychother,Tranq/Antipsychotic	Psychother,Tranq/Antipsychotic	Psychother,Tranq/Antipsychotic	Psychother,Tranq/Antipsychotic	0.509283819629
verapamil_hydrochloride	Cardiac, Calcium Channel	Cardiac, Calcium Channel	Cardiac, Calcium Channel	Cardiac, Calcium Channel	Cardiac, Calcium Channel	Cardiac, Calcium Channel	Cardiac, Calcium Channel	Cardiac, Calcium Channel	Cardiac, Calcium Channel	Cardiac, Calcium Channel	0.123767798467
ipratropium_bromide	Anticholinergic	Anticholinergic	Anticholinergic	Anticholinergic	Anticholinergic	Anticholinergic	Anticholinergic	Anticholinergic	Anticholinergic	Anticholinergic	0.152173913043
ezetimibe_simvastatin	Antihyperlipidemic Drugs	Antihyperlipidemic Drugs	Antihyperlipidemic Drugs	Antihyperlipidemic Drugs	Antihyperlipidemic Drugs	Antihyperlipidemic Drugs	Antihyperlipidemic Drugs	Antihyperlipidemic Drugs	Antihyperlipidemic Drugs	Antihyperlipidemic Drugs	1.0
rizatriptan_benzoate	Vascular 5HT1 Agonist	Vascular 5HT1 Agonist	Vascular 5HT1 Agonist	Vascular 5HT1 Agonist	Vascular 5HT1 Agonist	Vascular 5HT1 Agonist	Vascular 5HT1 Agonist	Vascular 5HT1 Agonist	Vascular 5HT1 Agonist	Vascular 5HT1 Agonist	0.520833333333
glipizide	Antidiabetic Ag, Sulfonylureas	Antidiabetic Ag, Sulfonylureas	Antidiabetic Ag, Sulfonylureas	Antidiabetic Ag, Sulfonylureas	Antidiabetic Ag, Sulfonylureas	Antidiabetic Ag, Sulfonylureas	Antidiabetic Ag, Sulfonylureas	Antidiabetic Ag, Sulfonylureas	Antidiabetic Ag, Sulfonylureas	Antidiabetic Ag, Sulfonylureas	0.133333333333
lamotrigine	Anticonvulsants, Misc	Anticonvulsants, Misc	Anticonvulsants, Misc	Anticonvulsants, Misc	Anticonvulsants, Misc	Anticonvulsants, Misc	Anticonvulsants, Misc	Anticonvulsants, Misc	Anticonvulsants, Misc	Anticonvulsants, Misc	0.179331306991
ethinyl_estradiol_norgestrel	Contraceptive, Oral Comb	Contraceptive, Oral Comb	Contraceptive, Oral Comb	Contraceptive, Oral Comb	Contraceptive, Oral Comb	Contraceptive, Oral Comb	Contraceptive, Oral Comb	Contraceptive, Oral Comb	Contraceptive, Oral Comb	Contraceptive, Oral Comb	0.627906976744
hydroxyzine_pamoate	Anxiolytic/Sedative/Hypnot	Anxiolytic/Sedative/Hypnot	Anxiolytic/Sedative/Hypnot	Anxiolytic/Sedative/Hypnot	Anxiolytic/Sedative/Hypnot	Anxiolytic/Sedative/Hypnot	Anxiolytic/Sedative/Hypnot	Anxiolytic/Sedative/Hypnot	Anxiolytic/Sedative/Hypnot	Anxiolytic/Sedative/Hypnot	0.0249609984399
rabeprazole_sodium	Gastrointestinal Drug Misc	Gastrointestinal Drug Misc	Gastrointestinal Drug Misc	Gastrointestinal Drug Misc	Gastrointestinal Drug Misc	Gastrointestinal Drug Misc	Gastrointestinal Drug Misc	Gastrointestinal Drug Misc	Gastrointestinal Drug Misc	Gastrointestinal Drug Misc	1.0
hydrochlorothiazide_losartan_potassium	Cardiac Drugs	Cardiac Drugs	Cardiac Drugs	Cardiac Drugs	Cardiac Drugs	Cardiac Drugs	Cardiac Drugs	Cardiac Drugs	Cardiac Drugs	Cardiac Drugs	0.216666666667
varenicline	Autonomic, Nicotine Preps	Autonomic, Nicotine Preps	Autonomic, Nicotine Preps	Autonomic, Nicotine Preps	Autonomic, Nicotine Preps	Autonomic, Nicotine Preps	Autonomic, Nicotine Preps	Autonomic, Nicotine Preps	Autonomic, Nicotine Preps	Autonomic, Nicotine Preps	1.0
silver_sulfadiazine	Antiinf S/MM, Antiinf Loc Misc	Antiinf S/MM, Antiinf Loc Misc	Antiinf S/MM, Antiinf Loc Misc	Antiinf S/MM, Antiinf Loc Misc	Antiinf S/MM, Antiinf Loc Misc	Antiinf S/MM, Antiinf Loc Misc	Antiinf S/MM, Antiinf Loc Misc	Antiinf S/MM, Antiinf Loc Misc	Antiinf S/MM, Antiinf Loc Misc	Antiinf S/MM, Antiinf Loc Misc	0.321585903084
ciclopirox	Antiinf S/MM,Antifungal & Comb	Antiinf S/MM,Antifungal & Comb	Antiinf S/MM,Antifungal & Comb	Antiinf S/MM,Antifungal & Comb	Antiinf S/MM,Antifungal & Comb	Antiinf S/MM,Antifungal & Comb	Antiinf S/MM,Antifungal & Comb	Antiinf S/MM,Antifungal & Comb	Antiinf S/MM,Antifungal & Comb	Antiinf S/MM,Antifungal & Comb	0.393258426966
insulin_glargine__recombinant	Antidiabetic Agents, Insulins	Antidiabetic Agents, Insulins	Antidiabetic Agents, Insulins	Antidiabetic Agents, Insulins	Antidiabetic Agents, Insulins	Antidiabetic Agents, Insulins	Antidiabetic Agents, Insulins	Antidiabetic Agents, Insulins	Antidiabetic Agents, Insulins	Antidiabetic Agents, Insulins	1.0
ezetimibe	Antihyperlipidemic Drugs	Antihyperlipidemic Drugs	Antihyperlipidemic Drugs	Antihyperlipidemic Drugs	Antihyperlipidemic Drugs	Antihyperlipidemic Drugs	Antihyperlipidemic Drugs	Antihyperlipidemic Drugs	Antihyperlipidemic Drugs	Antihyperlipidemic Drugs	0.962962962963
tolterodine_tartrate	Muscle Rel,Smooth-Genitour	Muscle Rel,Smooth-Genitour	Muscle Rel,Smooth-Genitour	Muscle Rel,Smooth-Genitour	Muscle Rel,Smooth-Genitour	Muscle Rel,Smooth-Genitour	Muscle Rel,Smooth-Genitour	Muscle Rel,Smooth-Genitour	Muscle Rel,Smooth-Genitour	Muscle Rel,Smooth-Genitour	0.708333333333
clonidine_hydrochloride	Hypotensive Agents	Analg/Antipyr, Salicylates	Analg/Antipyr, Salicylates	Hypotensive Agents	Analg/Antipyr, Salicylates	Analg/Antipyr, Salicylates	Hypotensive Agents	Hypotensive Agents	Hypotensive Agents	Hypotensive Agents	0.0266666666667
buspirone_hydrochloride	Anxiolytic/Sedative/Hypnot	Anxiolytic/Sedative/Hypnot	Anxiolytic/Sedative/Hypnot	Anxiolytic/Sedative/Hypnot	Anxiolytic/Sedative/Hypnot	Anxiolytic/Sedative/Hypnot	Anxiolytic/Sedative/Hypnot	Anxiolytic/Sedative/Hypnot	Anxiolytic/Sedative/Hypnot	Anxiolytic/Sedative/Hypnot	0.128415300546
cyclosporine	Immunosuppressants	Eyewash/Eyestrm/Lubr/Tear	Eyewash/Eyestrm/Lubr/Tear	Immunosuppressants	Immunosuppressants	Eyewash/Eyestrm/Lubr/Tear	Immunosuppressants	Eyewash/Eyestrm/Lubr/Tear	Immunosuppressants	Immunosuppressants	0.351851851852
influenza_virus_vaccine	Vaccines	Vaccines	Vaccines	Vaccines	Vaccines	Vaccines	Vaccines	Vaccines	Vaccines	Vaccines	0.95652173913
eszopiclone	Anxiolytic/Sedative/Hypnot	Anxiolytic/Sedative/Hypnot	Anxiolytic/Sedative/Hypnot	Anxiolytic/Sedative/Hypnot	Anxiolytic/Sedative/Hypnot	Anxiolytic/Sedative/Hypnot	Anxiolytic/Sedative/Hypnot	Anxiolytic/Sedative/Hypnot	Anxiolytic/Sedative/Hypnot	Anxiolytic/Sedative/Hypnot	1.0
cpm_hydrocod_bit_phenyleph_hcl	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	0.119047619048
desogestrel_ethinyl_estradiol	Contraceptive, Oral Comb	Contraceptive, Oral Comb	Contraceptive, Oral Comb	Contraceptive, Oral Comb	Contraceptive, Oral Comb	Contraceptive, Oral Comb	Contraceptive, Oral Comb	Contraceptive, Oral Comb	Contraceptive, Oral Comb	Contraceptive, Oral Comb	0.705882352941
hydrocodone_bitartrate_ibuprofen	Analg/Antipyr, Opiate Agonists	Analg/Antipyr, Opiate Agonists	Analg/Antipyr, Opiate Agonists	Analg/Antipyr, Opiate Agonists	Analg/Antipyr, Opiate Agonists	Analg/Antipyr, Opiate Agonists	Analg/Antipyr, Opiate Agonists	Analg/Antipyr, Opiate Agonists	Analg/Antipyr, Opiate Agonists	Analg/Antipyr, Opiate Agonists	0.230366492147
cefadroxil	Antibiot, Cephalosporin & Rel.	Antibiot, Cephalosporin & Rel.	Antibiot, Cephalosporin & Rel.	Antibiot, Cephalosporin & Rel.	Antibiot, Cephalosporin & Rel.	Antibiot, Cephalosporin & Rel.	Antibiot, Cephalosporin & Rel.	Antibiot, Cephalosporin & Rel.	Antibiot, Cephalosporin & Rel.	Antibiot, Cephalosporin & Rel.	0.236144578313
methylphenidate_hydrochloride	Stimulant, Amphetamine Type	Stimulant, Amphetamine Type	Stimulant, Amphetamine Type	Stimulant, Amphetamine Type	Stimulant, Amphetamine Type	Stimulant, Amphetamine Type	Stimulant, Amphetamine Type	Stimulant, Amphetamine Type	Stimulant, Amphetamine Type	Stimulant, Amphetamine Type	0.293975903614
oxybutynin_chloride	Muscle Rel,Smooth-Genitour	Muscle Rel,Smooth-Genitour	Muscle Rel,Smooth-Genitour	Muscle Rel,Smooth-Genitour	Muscle Rel,Smooth-Genitour	Muscle Rel,Smooth-Genitour	Muscle Rel,Smooth-Genitour	Muscle Rel,Smooth-Genitour	Muscle Rel,Smooth-Genitour	Muscle Rel,Smooth-Genitour	0.119863013699
sucralfate	Gastrointestinal Drug Misc	Gastrointestinal Drug Misc	Gastrointestinal Drug Misc	Gastrointestinal Drug Misc	Gastrointestinal Drug Misc	Gastrointestinal Drug Misc	Gastrointestinal Drug Misc	Gastrointestinal Drug Misc	Gastrointestinal Drug Misc	Gastrointestinal Drug Misc	0.183006535948
terbinafine_hydrochloride	Antiinf S/MM,Antifungal & Comb	Antiinf S/MM,Antifungal & Comb	Antiinf S/MM,Antifungal & Comb	Antiinf S/MM,Antifungal & Comb	Antiinf S/MM,Antifungal & Comb	Antiinf S/MM,Antifungal & Comb	Antiinf S/MM,Antifungal & Comb	Antiinf S/MM,Antifungal & Comb	Antiinf S/MM,Antifungal & Comb	Antiinf S/MM,Antifungal & Comb	0.283783783784
bpm_dm_hydrobrom_pse_hcl	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	0.19170984456
loteprednol_etabonate	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	1.0
famotidine	Histamine (H2) Antagonist	Histamine (H2) Antagonist	Histamine (H2) Antagonist	Histamine (H2) Antagonist	Histamine (H2) Antagonist	Histamine (H2) Antagonist	Histamine (H2) Antagonist	Histamine (H2) Antagonist	Histamine (H2) Antagonist	Histamine (H2) Antagonist	0.348514851485
folic_acid	Multivit Prep, Multivit Plain	Multivit Prep, Multivit Plain	Multivit Prep, Multivit Plain	Multivit Prep, Multivit Plain	Multivit Prep, Multivit Plain	Multivit Prep, Multivit Plain	Multivit Prep, Multivit Plain	Multivit Prep, Multivit Plain	Multivit Prep, Multivit Plain	Multivit Prep, Multivit Plain	0.0325814536341
cpm_dm_hydrobrom_phenyleph_hcl	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	0.280373831776
hydrochlorothiazide_valsartan	Cardiac Drugs	Cardiac Drugs	Cardiac Drugs	Cardiac Drugs	Cardiac Drugs	Cardiac Drugs	Cardiac Drugs	Cardiac Drugs	Cardiac Drugs	Cardiac Drugs	0.555555555556
scopolamine	Antichol/Antimuscarin/Antispas	Antichol/Antimuscarin/Antispas	Antichol/Antimuscarin/Antispas	Antichol/Antimuscarin/Antispas	Antichol/Antimuscarin/Antispas	Antichol/Antimuscarin/Antispas	Antichol/Antimuscarin/Antispas	Antichol/Antimuscarin/Antispas	Antichol/Antimuscarin/Antispas	Antichol/Antimuscarin/Antispas	1.0
albuterol_sulfate_ipratropium_bromide	Sympathomimetic Agents	Sympathomimetic Agents	Sympathomimetic Agents	Sympathomimetic Agents	Sympathomimetic Agents	Sympathomimetic Agents	Sympathomimetic Agents	Sympathomimetic Agents	Sympathomimetic Agents	Sympathomimetic Agents	0.325581395349
guaifenesin_phenylephrine_hydrochloride	Sympathomimetic Agents	Sympathomimetic Agents	Sympathomimetic Agents	Sympathomimetic Agents	Sympathomimetic Agents	Sympathomimetic Agents	Sympathomimetic Agents	Sympathomimetic Agents	Sympathomimetic Agents	Sympathomimetic Agents	0.415841584158
desloratadine	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	0.686274509804
sulfacetamide_sodium	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	0.233333333333
mupirocin_calcium	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	0.866666666667
tizanidine_hydrochloride	Muscle Relax, Skeletal Central	Muscle Relax, Skeletal Central	Muscle Relax, Skeletal Central	Muscle Relax, Skeletal Central	Muscle Relax, Skeletal Central	Muscle Relax, Skeletal Central	Muscle Relax, Skeletal Central	Muscle Relax, Skeletal Central	Muscle Relax, Skeletal Central	Muscle Relax, Skeletal Central	0.129094412331
sodium_fluoride	Fluoride Preparations	Fluoride Preparations	Fluoride Preparations	Fluoride Preparations	Fluoride Preparations	Fluoride Preparations	Fluoride Preparations	Fluoride Preparations	Fluoride Preparations	Fluoride Preparations	0.464174454829
pregabalin	CNS Agents, Misc.	CNS Agents, Misc.	CNS Agents, Misc.	CNS Agents, Misc.	CNS Agents, Misc.	CNS Agents, Misc.	CNS Agents, Misc.	CNS Agents, Misc.	CNS Agents, Misc.	CNS Agents, Misc.	1.0
lovastatin	Antihyperlipidemic Drugs	Antihyperlipidemic Drugs	Antihyperlipidemic Drugs	Antihyperlipidemic Drugs	Antihyperlipidemic Drugs	Antihyperlipidemic Drugs	Antihyperlipidemic Drugs	Antihyperlipidemic Drugs	Antihyperlipidemic Drugs	Antihyperlipidemic Drugs	0.142414860681
temazepam	ASH, Benzodiazepines	ASH, Benzodiazepines	ASH, Benzodiazepines	ASH, Benzodiazepines	ASH, Benzodiazepines	ASH, Benzodiazepines	ASH, Benzodiazepines	ASH, Benzodiazepines	ASH, Benzodiazepines	ASH, Benzodiazepines	0.0582362728785
prochlorperazine_maleate	Antiemetics	Antiemetics	Antiemetics	Psychother,Tranq/Antipsychotic	Psychother,Tranq/Antipsychotic	Antiemetics	Antiemetics	Antiemetics	Psychother,Tranq/Antipsychotic	Antiemetics	0.132450331126
adapalene	Cell Stim/Proliferant S/MM	Cell Stim/Proliferant S/MM	Cell Stim/Proliferant S/MM	Cell Stim/Proliferant S/MM	Cell Stim/Proliferant S/MM	Cell Stim/Proliferant S/MM	Cell Stim/Proliferant S/MM	Cell Stim/Proliferant S/MM	Cell Stim/Proliferant S/MM	Cell Stim/Proliferant S/MM	0.692307692308
hydrocortisone_acetate	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	0.155737704918
propranolol_hydrochloride	Cardiac, Beta Blockers	Cardiac, Beta Blockers	Cardiac, Beta Blockers	Cardiac, Beta Blockers	Cardiac, Beta Blockers	Cardiac, Beta Blockers	Cardiac, Beta Blockers	Cardiac, Beta Blockers	Cardiac, Beta Blockers	Cardiac, Beta Blockers	0.0806100217865
valsartan	Cardiac Drugs	Cardiac Drugs	Cardiac Drugs	Cardiac Drugs	Cardiac Drugs	Cardiac Drugs	Cardiac Drugs	Cardiac Drugs	Cardiac Drugs	Cardiac Drugs	0.981308411215
risedronate_sodium	Misc Therapeutic Agents	Misc Therapeutic Agents	Misc Therapeutic Agents	Misc Therapeutic Agents	Misc Therapeutic Agents	Misc Therapeutic Agents	Misc Therapeutic Agents	Misc Therapeutic Agents	Misc Therapeutic Agents	Misc Therapeutic Agents	1.0
dm_hydrobrom_promethazine_hcl	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	0.0647482014388
clopidogrel_hydrogen_sulfate	Antiplatelet Agents	Antiplatelet Agents	Antiplatelet Agents	Antiplatelet Agents	Antiplatelet Agents	Antiplatelet Agents	Antiplatelet Agents	Antiplatelet Agents	Antiplatelet Agents	Antiplatelet Agents	0.375
glucose_meter_test_control_strips	Diabetes Mell/Diab Supply	Diabetes Mell/Diab Supply	Diabetes Mell/Diab Supply	Diabetes Mell/Diab Supply	Diabetes Mell/Diab Supply	Diabetes Mell/Diab Supply	Diabetes Mell/Diab Supply	Diabetes Mell/Diab Supply	Diabetes Mell/Diab Supply	Diabetes Mell/Diab Supply	0.0481927710843
diltiazem_hydrochloride	Cardiac, Calcium Channel	Cardiac, Calcium Channel	Cardiac, Calcium Channel	Cardiac, Calcium Channel	Cardiac, Calcium Channel	Cardiac, Calcium Channel	Cardiac, Calcium Channel	Cardiac, Calcium Channel	Cardiac, Calcium Channel	Cardiac, Calcium Channel	0.255238095238
nitroglycerin	Vasodilating Agents	Vasodilating Agents	Vasodilating Agents	Vasodilating Agents	Misc Therapeutic Agents	Misc Therapeutic Agents	Misc Therapeutic Agents	Vasodilating Agents	Vasodilating Agents	Vasodilating Agents	0.290884718499
